node_id,dyn_id,opcode,category,hw_start_cycle,hw_end_cycle,sw_start_cycle,sw_end_cycle,latency
0,1,MOV,MOVE,0,1,15,16,1
1,2,CALL_NEAR,OTHER,0,1,15,16,1
2,3,NOP,OTHER,0,0,12,12,0
3,4,PUSH,MOVE,0,1,15,16,1
4,5,LEA,MOVE,0,1,11,12,1
5,6,LEA,MOVE,0,1,13,14,1
6,7,MOVQ,OTHER,0,1,0,1,1
7,8,MOVQ,OTHER,0,1,13,14,1
8,9,PUNPCKLQDQ,OTHER,0,1,0,1,1
9,10,MOV,MOVE,0,1,15,16,1
10,11,PUSH,MOVE,0,1,14,15,1
11,12,PUSH,MOVE,0,1,14,15,1
12,13,PUSH,MOVE,0,1,14,15,1
13,14,PUSH,MOVE,0,1,14,15,1
14,15,PUSH,MOVE,0,1,13,14,1
15,16,SUB,ARITH,0,1,13,14,1
16,17,MOV,MOVE,0,1,5,6,1
17,18,MOVAPS,OTHER,0,1,0,1,1
18,19,RDTSC,OTHER,0,1,12,13,1
19,20,AND,LOGIC,0,1,12,13,1
20,21,LEA,MOVE,0,1,10,11,1
21,22,MOV,MOVE,0,1,4,5,1
22,23,MOV,MOVE,0,1,1,2,1
23,24,SHL,LOGIC,0,1,12,13,1
24,25,MOV,MOVE,0,1,10,11,1
25,26,MOV,MOVE,0,1,0,1,1
26,27,OR,LOGIC,0,1,11,12,1
27,28,LEA,MOVE,0,1,11,12,1
28,29,MOV,MOVE,0,1,11,12,1
29,30,MOV,MOVE,0,1,10,11,1
30,31,MOV,MOVE,0,1,10,11,1
31,32,TEST,COMPARE,0,1,9,10,1
32,33,JNZ,BRANCH,0,1,9,10,1
33,34,CMP,COMPARE,0,1,9,10,1
34,35,JBE,BRANCH,0,1,8,9,1
35,36,MOV,MOVE,0,1,9,10,1
36,37,MOV,MOVE,0,1,8,9,1
37,38,ADD,ARITH,0,1,8,9,1
38,39,TEST,COMPARE,0,1,8,9,1
39,40,JZ,BRANCH,0,1,7,8,1
40,41,CMP,COMPARE,0,1,7,8,1
41,42,JBE,BRANCH,0,1,7,8,1
42,43,MOV,MOVE,0,1,7,8,1
43,44,MOV,MOVE,0,1,6,7,1
44,45,ADD,ARITH,0,1,6,7,1
45,46,TEST,COMPARE,0,1,6,7,1
46,47,JZ,BRANCH,0,1,6,7,1
47,48,CMP,COMPARE,0,1,5,6,1
48,49,JBE,BRANCH,0,1,5,6,1
49,50,LEA,MOVE,0,1,5,6,1
50,51,CMP,COMPARE,0,1,4,5,1
51,52,JBE,BRANCH,0,1,4,5,1
52,53,MOV,MOVE,0,1,4,5,1
53,54,SUB,ARITH,0,1,3,4,1
54,55,CMP,COMPARE,0,1,3,4,1
55,56,JNBE,BRANCH,0,1,3,4,1
56,57,LEA,MOVE,0,1,3,4,1
57,58,MOV,MOVE,0,1,2,3,1
58,59,SAR,LOGIC,0,1,2,3,1
59,60,CMP,COMPARE,0,1,2,3,1
60,61,JBE,BRANCH,0,1,2,3,1
61,62,MOV,MOVE,0,1,1,2,1
62,63,SUB,ARITH,0,1,1,2,1
63,64,CMP,COMPARE,0,1,1,2,1
64,65,JNBE,BRANCH,0,1,31,32,1
65,66,MOV,MOVE,0,1,31,32,1
66,67,SUB,ARITH,0,1,31,32,1
67,68,CMP,COMPARE,0,1,31,32,1
68,69,JNBE,BRANCH,0,1,30,31,1
69,70,MOV,MOVE,0,1,30,31,1
70,71,SUB,ARITH,0,1,30,31,1
71,72,MOV,MOVE,0,1,30,31,1
72,73,JMP,BRANCH,0,1,28,29,1
73,74,MOV,MOVE,0,1,29,30,1
74,75,MOV,MOVE,0,1,29,30,1
75,76,ADD,ARITH,0,1,29,30,1
76,77,TEST,COMPARE,0,1,29,30,1
77,78,JZ,BRANCH,0,1,28,29,1
78,79,CMP,COMPARE,0,1,28,29,1
79,80,JBE,BRANCH,0,1,27,28,1
80,81,MOV,MOVE,0,1,28,29,1
81,82,MOV,MOVE,0,1,27,28,1
82,83,ADD,ARITH,0,1,27,28,1
83,84,TEST,COMPARE,0,1,27,28,1
84,85,JZ,BRANCH,0,1,26,27,1
85,86,CMP,COMPARE,0,1,26,27,1
86,87,JBE,BRANCH,0,1,26,27,1
87,88,MOV,MOVE,0,1,26,27,1
88,89,MOV,MOVE,0,1,25,26,1
89,90,ADD,ARITH,0,1,25,26,1
90,91,TEST,COMPARE,0,1,25,26,1
91,92,JZ,BRANCH,0,1,25,26,1
92,93,CMP,COMPARE,0,1,24,25,1
93,94,JBE,BRANCH,0,1,24,25,1
94,95,MOV,MOVE,0,1,24,25,1
95,96,MOV,MOVE,0,1,24,25,1
96,97,ADD,ARITH,0,1,23,24,1
97,98,TEST,COMPARE,0,1,23,24,1
98,99,JZ,BRANCH,0,1,23,24,1
99,100,CMP,COMPARE,0,1,23,24,1
100,101,JBE,BRANCH,0,1,22,23,1
101,102,MOV,MOVE,0,1,22,23,1
102,103,MOV,MOVE,0,1,22,23,1
103,104,ADD,ARITH,0,1,22,23,1
104,105,TEST,COMPARE,0,1,21,22,1
105,106,JZ,BRANCH,0,1,21,22,1
106,107,CMP,COMPARE,0,1,21,22,1
107,108,JBE,BRANCH,0,1,20,21,1
108,109,MOV,MOVE,0,1,21,22,1
109,110,MOV,MOVE,0,1,20,21,1
110,111,ADD,ARITH,0,1,20,21,1
111,112,TEST,COMPARE,0,1,20,21,1
112,113,JZ,BRANCH,0,1,19,20,1
113,114,CMP,COMPARE,0,1,19,20,1
114,115,JBE,BRANCH,0,1,19,20,1
115,116,MOV,MOVE,0,1,19,20,1
116,117,MOV,MOVE,0,1,18,19,1
117,118,ADD,ARITH,0,1,18,19,1
118,119,TEST,COMPARE,0,1,18,19,1
119,120,JZ,BRANCH,0,1,18,19,1
120,121,CMP,COMPARE,0,1,17,18,1
121,122,JBE,BRANCH,0,1,17,18,1
122,123,MOV,MOVE,0,1,17,18,1
123,124,MOV,MOVE,0,1,17,18,1
124,125,ADD,ARITH,0,1,16,17,1
125,126,TEST,COMPARE,0,1,16,17,1
126,127,JZ,BRANCH,0,1,16,17,1
127,128,CMP,COMPARE,0,1,16,17,1
128,129,JBE,BRANCH,0,1,47,48,1
129,130,LEA,MOVE,0,1,47,48,1
130,131,CMP,COMPARE,0,1,47,48,1
131,132,JBE,BRANCH,0,1,46,47,1
132,133,MOV,MOVE,0,1,47,48,1
133,134,SUB,ARITH,0,1,46,47,1
134,135,CMP,COMPARE,0,1,46,47,1
135,136,JNBE,BRANCH,0,1,45,46,1
136,137,MOV,MOVE,0,1,46,47,1
137,138,SUB,ARITH,0,1,45,46,1
138,139,MOV,MOVE,0,1,45,46,1
139,140,JMP,BRANCH,0,1,44,45,1
140,141,MOV,MOVE,0,1,45,46,1
141,142,MOV,MOVE,0,1,44,45,1
142,143,ADD,ARITH,0,1,44,45,1
143,144,TEST,COMPARE,0,1,44,45,1
